Probability of getting >= K points with N rolls of six-sided die,,,,,,,,,,
,1 Roll, 2 Rolls,3 Rolls,4 Rolls,5 Rolls,6 Rolls,7 Rolls,8 Rolls,9 Rolls,10 Rolls
1 Point,1,1,1,1,1,1,1,1,1,1
2 Points,0.833333333333333,0.694444444444444,0.578703703703704,0.482253086419753,0.401877572016461,0.334897976680384,0.279081647233653,0.232568039361378,0.193806699467815,0.161505582889846
3 Points,0.666666666666667,0.694444444444444,0.578703703703704,0.482253086419753,0.401877572016461,0.334897976680384,0.279081647233653,0.232568039361378,0.193806699467815,0.161505582889846
4 Points,0.5,0.694444444444444,0.578703703703704,0.482253086419753,0.401877572016461,0.334897976680384,0.279081647233653,0.232568039361378,0.193806699467815,0.161505582889846
5 Points,0.333333333333333,0.666666666666667,0.578703703703704,0.482253086419753,0.401877572016461,0.334897976680384,0.279081647233653,0.232568039361378,0.193806699467815,0.161505582889846
6 Points,0.166666666666667,0.611111111111111,0.578703703703704,0.482253086419753,0.401877572016461,0.334897976680384,0.279081647233653,0.232568039361378,0.193806699467815,0.161505582889846
7 Points,0,0.527777777777778,0.574074074074074,0.482253086419753,0.401877572016461,0.334897976680384,0.279081647233653,0.232568039361378,0.193806699467815,0.161505582889846
8 Points,0,0.416666666666667,0.560185185185185,0.482253086419753,0.401877572016461,0.334897976680384,0.279081647233653,0.232568039361378,0.193806699467815,0.161505582889846
9 Points,0,0.277777777777778,0.532407407407407,0.481481481481482,0.401877572016461,0.334897976680384,0.279081647233653,0.232568039361378,0.193806699467815,0.161505582889846
10 Points,0,0.166666666666667,0.486111111111111,0.478395061728395,0.401877572016461,0.334897976680384,0.279081647233653,0.232568039361378,0.193806699467815,0.161505582889846
11 Points,0,0.083333333333333,0.416666666666667,0.470679012345679,0.401748971193416,0.334897976680384,0.279081647233653,0.232568039361378,0.193806699467815,0.161505582889846
12 Points,0,0.027777777777778,0.333333333333333,0.455246913580247,0.401105967078189,0.334897976680384,0.279081647233653,0.232568039361378,0.193806699467815,0.161505582889846
13 Points,0,0,0.24537037037037,0.428240740740741,0.39917695473251,0.334876543209876,0.279081647233653,0.232568039361378,0.193806699467815,0.161505582889846
14 Points,0,0,0.162037037037037,0.388117283950617,0.394675925925926,0.334747942386831,0.279081647233653,0.232568039361378,0.193806699467815,0.161505582889846
15 Points,0,0,0.092592592592593,0.335648148148148,0.385673868312757,0.334297839506173,0.279078074988569,0.232568039361378,0.193806699467815,0.161505582889846
16 Points,0,0,0.046296296296296,0.27391975308642,0.37011316872428,0.33309756515775,0.279053069272977,0.232568039361378,0.193806699467815,0.161505582889846
17 Points,0,0,0.018518518518519,0.208333333333333,0.346322016460905,0.3303969478738,0.278953046410608,0.232567443987197,0.193806699467815,0.161505582889846
18 Points,0,0,0.00462962962963,0.146604938271605,0.313528806584362,0.325124314128944,0.278652977823502,0.232562680993751,0.193806699467815,0.161505582889846
19 Points,0,0,0,0.094135802469136,0.272376543209876,0.31599365569273,0.277902806355738,0.232541247523243,0.193806600238785,0.161505582889846
20 Points,0,0,0,0.054012345679012,0.225437242798354,0.301718964334705,0.27627743484225,0.232469802621551,0.193805707177514,0.161505582889846
21 Points,0,0,0,0.027006172839506,0.176440329218107,0.28133573388203,0.273151720393233,0.232273329141899,0.193801241871158,0.161505566351674
22 Points,0,0,0,0.011574074074074,0.129501028806584,0.25462962962963,0.267721907864655,0.231806555784179,0.193784869081187,0.161505400969957
23 Points,0,0,0,0.003858024691358,0.088348765432099,0.222350823045267,0.259094935985368,0.230822997637555,0.193735750711274,0.161504491370514
24 Points,0,0,0,0.000771604938272,0.055555555555556,0.186213991769547,0.24646704961134,0.22895114121323,0.193608936010771,0.161500852972743
